name,type,notranslate,comment,value,en
"projecttreefo,addfileact,caption",vaString,F,,Add Text File,Add Text File
"projecttreefo,removefileact,caption",vaString,F,,Remove Text File,Remove Text File
"projecttreefo,removecmoduleact,caption",vaString,F,,Remove C-File,Remove C-File
"projecttreefo,addcmoduleact,caption",vaString,F,,Add C-File,Add C-File
"projecttreefo,cmoduledialog,controller.filterlist.data,0:,0:",vaString,F,,C-Source (*.c),C-Source (*.c)
"projecttreefo,adddiract,caption",vaString,F,,Add Directory,Add Directory
"projecttreefo,removediract,caption",vaString,F,,Remove Directory,Remove Directory
"projecttreefo,editdiract,caption",vaString,F,,Edit Directory Caption,Edit Directory Caption
"projecttreefo,c,strings.data,0:",vaString,F,,Pascal Units,Pascal Units
"projecttreefo,c,strings.data,1:",vaString,F,,C Modules,C Modules
"projecttreefo,c,strings.data,2:",vaString,F,,Text Files,Text Files
"projecttreefo,c,strings.data,3:",vaString,F,,"Do you wish to remove ""","Do you wish to remove """
"projecttreefo,c,strings.data,4:",vaString,F,,Select Directory,Select Directory
"projecttreefo,c,strings.data,5:",vaString,F,,Do you want to remove,Do you want to remove
"projecttreefo,c,strings.data,6:",vaString,F,,with the sub-items from project?,with the sub-items from project?
"projectoptionsfo,caption",vaString,F,,Project Options,Project Options
"projectoptionsfo,tlayouter9,tlayouter8,cancel,caption",vaString,F,,Cancel,Cancel
"projectoptionsfo,tlayouter9,tlayouter8,ok,caption",vaString,F,,Ok,Ok
"projectoptionsfo,tlayouter9,tabwidget,editorpage,caption",vaString,F,,&Editor,&Editor
"projectoptionsfo,tlayouter9,tabwidget,editorpage,ttabwidget3,ttabpage23,caption",vaString,F,,Source,Source
"projectoptionsfo,tlayouter9,tabwidget,editorpage,ttabwidget3,ttabpage23,ttabwidget2,ttabpage13,caption",vaString,F,,File filter,File filter
"projectoptionsfo,tlayouter9,tabwidget,editorpage,ttabwidget3,ttabpage23,ttabwidget2,ttabpage13,filefiltergrid,fixrows.items,0:,captions.items,0:,caption",vaString,F,,Name,Name
